Id,indegree,outdegree,Wynalazcy,Kraj,Firma,Klasa,Podkategoria
"5506046","0","27","Per Andersen, Simon Hodson","UNITED STATES","E. KHASHOGGI INDUSTRIES","Stock Material or Miscellaneous Articles","Miscellaneous-Others"
"5508072","0","18","Per Andersen, Simon Hodson","UNITED STATES","E. KHASHOGGI INDUSTRIES","Stock Material or Miscellaneous Articles","Miscellaneous-Others"
"5514131","0","17","David Douglass, Stuart Edwards","UNITED STATES","None","Surgery","Surgery & Med Inst."
"5421819","1","16","James Baker, Stuart Edwards, Ronald Lax, Ingemar Lundquist, Hugh Sharkey","UNITED STATES","VIDAMED, INC.","Surgery","Surgery & Med Inst."
"5435805","1","16","James Baker, Stuart Edwards, Ronald Lax, Ingemar Lundquist, Hugh Sharkey","UNITED STATES","VIDAMED, INC.","Surgery","Surgery & Med Inst."
"5456662","0","16","David Douglass, Stuart Edwards","UNITED STATES","None","Surgery","Surgery & Med Inst."
"5470308","0","16","Stuart Edwards, Ronald Lax, Ingemar Lundquist, Hugh Sharkey","UNITED STATES","VIDAMED, INC.","Surgery","Surgery & Med Inst."
"5516904","0","16","Roshantha Chandraratna","UNITED STATES","ALLERGAN, INC.","Drug, Bio-Affecting and Body Treating Compositions","Drugs"
"5534516","0","16","Roshantha Chandraratna","UNITED STATES","ALLERGAN, INC.","Drug, Bio-Affecting and Body Treating Compositions","Drugs"
"5542915","0","16","James Baker, Stuart Edwards, Ronald Lax, Ingemar Lundquist, Hugh Sharkey","UNITED STATES","VIDAMED, INC.","Surgery","Surgery & Med Inst."
