Id,indegree,outdegree,Wynalazcy,Kraj,Firma,Klasa,Podkategoria
"5183827","21","0","Roshantha Chandraratna","UNITED STATES","ALLERGAN, INC.","Drug, Bio-Affecting and Body Treating Compositions","Drugs"
"5202471","19","0","Roshantha Chandraratna","UNITED STATES","ALLERGAN, INC.","Organic Compounds -- Part of the Class 532-570 Series","Organic Compounds"
"5234926","15","0","Roshantha Chandraratna","UNITED STATES","ALLERGAN, INC.","Drug, Bio-Affecting and Body Treating Compositions","Drugs"
"5231113","14","0","Roshantha Chandraratna, Robert Weinkam","UNITED STATES","ALLERGAN, INC.","Drug, Bio-Affecting and Body Treating Compositions","Drugs"
"5247347","13","0","Carl Coddington, Jeffrey Gold, Donald Klika, Daniel Konkle, Larry Litteral, James McHenry, Arthur Richard","UNITED STATES","BELL ATLANTIC NETWORK SERVICES, INC.","Television","Miscellaneous-Elec"
"5248777","13","0","Roshantha Chandraratna","UNITED STATES","ALLERGAN, INC.","Organic Compounds -- Part of the Class 532-570 Series","Organic Compounds"
"5264456","13","0","Roshantha Chandraratna","UNITED STATES","ALLERGAN, INC.","Drug, Bio-Affecting and Body Treating Compositions","Drugs"
"5264578","13","0","Roshantha Chandraratna","UNITED STATES","ALLERGAN, INC.","Organic Compounds -- Part of the Class 532-570 Series","Organic Compounds"
"5281218","11","0","Mir Imran","UNITED STATES","CARDIAC PATHWAYS CORPORATION","Surgery","Surgery & Med Inst."
"5190539","10","0","Leroy Fletcher, George Peterson","UNITED STATES","TEXAS A&M UNIVERSITY SYSTEM","Surgery","Surgery & Med Inst."
