Id,indegree,outdegree,inventor,citedby,citingno,country,company,class,subcategory
"5506046","0","27","Per Andersen, Simon Hodson","26","200","UNITED STATES","E. KHASHOGGI INDUSTRIES","Stock Material or Miscellaneous Articles","Miscellaneous-Others"
"5508072","0","18","Per Andersen, Simon Hodson","26","255","UNITED STATES","E. KHASHOGGI INDUSTRIES","Stock Material or Miscellaneous Articles","Miscellaneous-Others"
"5514131","0","17","David Douglass, Stuart Edwards","33","193","UNITED STATES","None","Surgery","Surgery & Med Inst."
"5421819","1","16","James Baker, Stuart Edwards, Ronald Lax, Ingemar Lundquist, Hugh Sharkey","40","183","UNITED STATES","VIDAMED, INC.","Surgery","Surgery & Med Inst."
"5435805","1","16","James Baker, Stuart Edwards, Ronald Lax, Ingemar Lundquist, Hugh Sharkey","46","182","UNITED STATES","VIDAMED, INC.","Surgery","Surgery & Med Inst."
"5456662","0","16","David Douglass, Stuart Edwards","35","182","UNITED STATES","None","Surgery","Surgery & Med Inst."
"5470308","0","16","Stuart Edwards, Ronald Lax, Ingemar Lundquist, Hugh Sharkey","37","182","UNITED STATES","VIDAMED, INC.","Surgery","Surgery & Med Inst."
"5516904","0","16","Roshantha Chandraratna","28","58","UNITED STATES","ALLERGAN, INC.","Drug, Bio-Affecting and Body Treating Compositions","Drugs"
"5534516","0","16","Roshantha Chandraratna","29","54","UNITED STATES","ALLERGAN, INC.","Drug, Bio-Affecting and Body Treating Compositions","Drugs"
"5542915","0","16","James Baker, Stuart Edwards, Ronald Lax, Ingemar Lundquist, Hugh Sharkey","33","183","UNITED STATES","VIDAMED, INC.","Surgery","Surgery & Med Inst."
